iso_code	date	total_cases	total_deaths	total_cases_per_million	total_deaths_per_million	new_cases	new_deaths	new_deaths_per_million	new_cases_per_million	stringency_index	hospital_beds_per_1k	health_expenditure(%ofGDP)	HealthExpenseperGDP	diabetes_prevalence	cvd_death_rate	total_smokers	gdp_per_capita	HDI	median_age	aged_65_older	population_density	population	log_population	Lineage	identity percentage for NSP1	score for NSP1	identity percentage for NSP2	score for NSP2	identity percentage for NSP3	score for NSP3	identity percentage for NSP4	score for NSP4	identity percentage for NSP5	score for NSP5	identity percentage for NSP6	score for NSP6	identity percentage for NSP7	score for NSP7	identity percentage for NSP8	score for NSP8	identity percentage for NSP9	score for NSP9	identity percentage for NSP10	score for NSP10	identity percentage for NSP11	score for NSP11	identity percentage for NSP12	score for NSP12	identity percentage for NSP13	score for NSP13	identity percentage for NSP14	score for NSP14	identity percentage for NSP15	score for NSP15	identity percentage for NSP16	score for NSP16	identity percentage for Spike	score for Spike	identity percentage for NS3	score for NS3	identity percentage for E	score for E	identity percentage for M	score for M	identity percentage for NS6	score for NS6	identity percentage for NS7a	score for NS7a	identity percentage for NS7b	score for NS7b	identity percentage for NS8	score for NS8	identity percentage for N	score for N	death_growth_rate	Country	Clade_V	Clade_GH	Clade_GR	Clade_G	Clade_O	Clade_L	Clade_S
AUS	2020-04-30	6875.0	97.0	269.609	3.804	1031.0	55.0	2.153	40.432	68.26	3.84	9.21	9.252	5.07	107.791	14.9	44648.71	0.938	37.9	15.504	3.202	25499881.0	17.054	B.1.p2	100.0	1299.0	99.8333	4648.6667	100.0	14269.0	99.9333	3748.3333	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.7333	2069.3333	100.0	550.0	99.6667	1661.0	100.0	465.0	100.0	901.0	100.0	340.0	99.4667	910.3333	100.0	3016.0	37.5	Australia	0.0	1.0	0.0	1.0	0.0	0.0	0.0
AUS	2020-05-31	7106.0	102.0	278.668	4.0	231.0	5.0	0.195	9.058	66.14	3.84	9.21	9.252	5.07	107.791	14.9	44648.71	0.938	37.9	15.504	3.202	25499881.0	17.054	B.1.p2	100.0	1299.0	99.8333	4648.6667	100.0	14269.0	99.9333	3748.3333	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.7333	2069.3333	100.0	550.0	99.6667	1661.0	100.0	465.0	100.0	901.0	100.0	340.0	99.4667	910.3333	100.0	3016.0	-90.9091	Australia	0.0	1.0	0.0	1.0	0.0	0.0	0.0
AUT	2020-02-29	74.0	0.0	8.216	0.0	74.0	0.0	0.0	8.215	11.11	7.37	10.4	10.33	6.35	145.183	35.15	45436.685	0.914	44.4	19.202	106.749	9006400.0	16.013	B.1.1.6, B.1.1	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8875	9374.375	100.0	2074.0	100.0	550.0	99.9688	1666.375	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Austria	0.0	0.0	1.0	1.0	0.0	0.0	0.0
AUT	2020-03-31	12297.0	220.0	978.526	24.427	12223.0	220.0	24.429	1243.129	84.79	7.37	10.4	10.33	6.35	145.183	35.15	45436.685	0.914	44.4	19.202	106.749	9006400.0	16.013	B.1.36	100.0	1299.0	99.9315	4652.9167	100.0	14269.0	99.9889	3752.5	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.8926	6984.3889	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8889	9375.3333	99.8185	2070.8241	99.9278	549.7778	99.8819	1664.6389	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.831	3008.9028	0.0	Austria	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AUT	2020-04-30	15651.0	608.0	1737.764	67.508	3354.0	388.0	43.08	372.403	71.82	7.37	10.4	10.33	6.35	145.183	35.15	45436.685	0.914	44.4	19.202	106.749	9006400.0	16.013	B, B.1.22, B.2	100.0	1299.0	99.975	4654.0	99.9917	14267.9167	100.0	3753.0	100.0	2284.0	99.8917	2229.5833	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9333	6989.6667	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8583	9373.8333	99.7333	2069.0	100.0	550.0	99.8333	1663.6667	100.0	465.0	100.0	901.0	99.8083	338.5833	100.0	919.0	99.95	3014.25	76.3636	Austria	1.0	0.0	0.0	0.0	1.0	0.0	0.0
AUT	2020-05-31	16407.0	639.0	1821.705	70.95	756.0	31.0	3.441	83.94	60.97	7.37	10.4	10.33	6.35	145.183	35.15	45436.685	0.914	44.4	19.202	106.749	9006400.0	16.013	B, B.1.22, B.2	100.0	1299.0	99.975	4654.0	99.9917	14267.9167	100.0	3753.0	100.0	2284.0	99.8917	2229.5833	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9333	6989.6667	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8583	9373.8333	99.7333	2069.0	100.0	550.0	99.8333	1663.6667	100.0	465.0	100.0	901.0	99.8083	338.5833	100.0	919.0	99.95	3014.25	-92.0103	Austria	1.0	0.0	0.0	0.0	1.0	0.0	0.0
BGD	2020-03-31	123.0	12.0	0.747	0.073	123.0	12.0	0.072	0.746	85.98	0.8	2.27	799.9444	8.38	298.003	20.25	35239.84	0.614	27.5	5.098	126.504	164689383.0	18.92	B.1.36	100.0	1299.0	99.898	4650.9	99.969	14266.63	100.0	3753.0	100.0	2284.0	99.973	2231.28	100.0	601.0	99.975	1438.55	100.0	821.0	100.0	1032.0	100.0	90.0	99.895	6984.6	99.96	4437.2	100.0	3988.0	99.985	2534.4	100.0	2222.0	99.891	9375.11	99.852	2070.22	100.0	550.0	99.975	1666.6	100.0	465.0	92.042	824.92	100.0	340.0	81.0	745.0	99.638	2999.64	0.0	Bangladesh	0.0	0.0	1.0	1.0	0.0	0.0	0.0
BGD	2020-04-30	11719.0	186.0	71.158	1.129	11596.0	174.0	1.056	70.412	94.58	0.8	2.27	799.9444	8.38	298.003	20.25	35239.84	0.614	27.5	5.098	126.504	164689383.0	18.92	B.1.36	100.0	1299.0	99.898	4650.9	99.969	14266.63	100.0	3753.0	100.0	2284.0	99.973	2231.28	100.0	601.0	99.975	1438.55	100.0	821.0	100.0	1032.0	100.0	90.0	99.895	6984.6	99.96	4437.2	100.0	3988.0	99.985	2534.4	100.0	2222.0	99.891	9375.11	99.852	2070.22	100.0	550.0	99.975	1666.6	100.0	465.0	92.042	824.92	100.0	340.0	81.0	745.0	99.638	2999.64	1350.0	Bangladesh	0.0	0.0	1.0	1.0	0.0	0.0	0.0
BGD	2020-05-31	32078.0	452.0	194.779	2.745	20359.0	266.0	1.617	113.932	91.93	0.8	2.27	799.9444	8.38	298.003	20.25	35239.84	0.614	27.5	5.098	126.504	164689383.0	18.92	A, B.1.1	100.0	1299.0	99.9833	4655.1667	99.9542	14264.0417	100.0	3753.0	99.8	2277.9583	100.0	2232.0	100.0	601.0	99.875	1436.75	100.0	821.0	100.0	1032.0	100.0	90.0	99.9667	6994.3333	100.0	4438.0	99.95	3986.75	100.0	2535.0	100.0	2222.0	99.9583	9381.9167	99.775	2067.5	100.0	550.0	100.0	1667.0	99.6	460.5	100.0	901.0	100.0	340.0	75.6042	691.1667	99.7083	3005.1667	52.8736	Bangladesh	0.0	0.0	1.0	1.0	0.0	0.0	1.0
BLR	2020-02-29	6.0	0.0	0.635	0.0	6.0	0.0	0.0	0.635	0.0	11.0	5.93	1018.0604	5.18	443.129	28.4	17167.967	0.817	40.3	14.799	468.58	9449321.0	16.061	B.2, B.1, B	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BLR	2020-03-31	700.0	13.0	285.7	1.376	694.0	13.0	1.375	73.443	8.33	11.0	5.93	1018.0604	5.18	443.129	28.4	17167.967	0.817	40.3	14.799	468.58	9449321.0	16.061	B.2, B.1, B	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BLR	2020-04-30	19255.0	112.0	928.426	11.853	18555.0	99.0	10.47	1963.635	15.47	11.0	5.93	1018.0604	5.18	443.129	28.4	17167.967	0.817	40.3	14.799	468.58	9449321.0	16.061	B.2, B.1, B	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	661.5385	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BLR	2020-05-31	35244.0	194.0	3729.792	20.531	15989.0	82.0	8.675	1601.5	15.47	11.0	5.93	1018.0604	5.18	443.129	28.4	17167.967	0.817	40.3	14.799	468.58	9449321.0	16.061	B.2, B.1, B	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	-17.1717	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-01-31	1.0	0.0	0.086	0.0	1.0	0.0	0.0	0.086	11.11	5.64	10.34	10.372	4.29	114.898	23.25	42658.575	0.919	41.8	18.571	375.564	11589616.0	16.266	B.2, B.1, B	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belgium	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-02-29	109.0	0.0	9.405	0.0	108.0	0.0	0.0	9.319	11.11	5.64	10.34	10.372	4.29	114.898	23.25	42658.575	0.919	41.8	18.571	375.564	11589616.0	16.266	B.2, B.1, B	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belgium	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-03-31	20814.0	1632.0	1795.918	140.816	20705.0	1632.0	140.819	1593.384	83.6	5.64	10.34	10.372	4.29	114.898	23.25	42658.575	0.919	41.8	18.571	375.564	11589616.0	16.266	B.1, B.1.p9, B.1.6, B.1.1	99.9718	1298.3951	99.9591	4653.9682	99.9814	14267.4183	99.9957	3752.7991	99.9997	2283.9896	99.9897	2231.7	99.9986	600.9884	99.9979	1438.963	100.0	821.0	99.6922	1028.625	100.0	90.0	99.9122	6987.0057	99.9806	4436.7884	99.9878	3987.4679	99.9965	2534.8628	99.9979	2221.9259	99.8897	9375.3191	99.9024	2071.5463	99.9759	549.8333	99.9578	1666.1768	99.9987	464.9926	99.9853	900.835	99.9981	339.9909	99.9673	918.6087	99.8509	3009.4632	0.0	Belgium	0.0	1.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-04-30	50781.0	8339.0	4381.595	719.523	29967.0	6707.0	569.076	2278.939	83.6	5.64	10.34	10.372	4.29	114.898	23.25	42658.575	0.919	41.8	18.571	375.564	11589616.0	16.266	B.1.6, B.1, B.1.1	99.9333	1297.7619	99.8762	4649.8095	99.9548	14265.5238	100.0	3753.0	99.9786	2283.3571	100.0	2232.0	100.0	601.0	99.9881	1438.7857	100.0	821.0	100.0	1032.0	100.0	90.0	99.9071	6986.5238	99.9571	4436.4286	100.0	3988.0	99.9786	2534.5	100.0	2222.0	99.9167	9377.9286	99.8476	2070.7619	100.0	550.0	99.9286	1665.5714	99.6476	463.0	99.7571	897.3571	100.0	340.0	100.0	919.0	99.9881	3015.5	310.9681	Belgium	0.0	1.0	1.0	1.0	0.0	0.0	0.0
BEL	2020-05-31	56810.0	9237.0	4901.802	797.007	6029.0	898.0	77.481	520.208	72.48	5.64	10.34	10.372	4.29	114.898	23.25	42658.575	0.919	41.8	18.571	375.564	11589616.0	16.266	B.1.6, B.1, B.1.1	99.9333	1297.7619	99.8762	4649.8095	99.9548	14265.5238	100.0	3753.0	99.9786	2283.3571	100.0	2232.0	100.0	601.0	99.9881	1438.7857	100.0	821.0	100.0	1032.0	100.0	90.0	99.9071	6986.5238	99.9571	4436.4286	100.0	3988.0	99.9786	2534.5	100.0	2222.0	99.9167	9377.9286	99.8476	2070.7619	100.0	550.0	99.9286	1665.5714	99.6476	463.0	99.7571	897.3571	100.0	340.0	100.0	919.0	99.9881	3015.5	-86.611	Belgium	0.0	1.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-02-29	13.0	0.0	0.061	0.0	13.0	0.0	0.0	0.063	11.11	2.2	9.47	1335.5969	8.11	17.796	15.3	14103.452	0.761	33.5	8.552	25.04	212559409.0	19.175	B.1.1	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	100.0	2074.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Brazil	0.0	0.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-03-31	12056.0	553.0	56.718	2.602	12043.0	553.0	2.602	56.657	67.74	2.2	9.47	1335.5969	8.11	17.796	15.3	14103.452	0.761	33.5	8.552	25.04	212559409.0	19.175	B.1.1, B.2	100.0	1299.0	99.9667	4654.5	100.0	14269.0	100.0	3753.0	100.0	2284.0	99.95	2230.5	99.8	599.5	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9167	6987.3333	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8833	9374.1667	99.9333	2072.1667	100.0	550.0	100.0	1667.0	98.9333	458.3333	100.0	901.0	100.0	340.0	100.0	919.0	99.45	2991.8333	0.0	Brazil	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-04-30	125218.0	8536.0	589.096	40.158	113162.0	7983.0	37.558	621.507	70.52	2.2	9.47	1335.5969	8.11	17.796	15.3	14103.452	0.761	33.5	8.552	25.04	212559409.0	19.175	B.1.1, B.2	100.0	1299.0	99.9667	4654.5	100.0	14269.0	100.0	3753.0	100.0	2284.0	99.95	2230.5	99.8	599.5	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9167	6987.3333	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8833	9374.1667	99.9333	2072.1667	100.0	550.0	100.0	1667.0	98.9333	458.3333	100.0	901.0	100.0	340.0	100.0	919.0	99.45	2991.8333	1343.5805	Brazil	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BRA	2020-05-31	347398.0	22013.0	954.641	99.022	222180.0	13477.0	63.405	1045.259	75.15	2.2	9.47	1335.5969	8.11	17.796	15.3	14103.452	0.761	33.5	8.552	25.04	212559409.0	19.175	B.1.1, B.2	100.0	1299.0	99.9667	4654.5	100.0	14269.0	100.0	3753.0	100.0	2284.0	99.95	2230.5	99.8	599.5	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9167	6987.3333	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8833	9374.1667	99.9333	2072.1667	100.0	550.0	100.0	1667.0	98.9333	458.3333	100.0	901.0	100.0	340.0	100.0	919.0	99.45	2991.8333	68.8212	Brazil	1.0	0.0	1.0	1.0	0.0	0.0	0.0
