iso_code	date	new_cases	stringency_index	HealthExpenseperGDP	total_smokers	gdp_per_capita	aged_65_older	population_density	log_population	identity percentage for NSP1	score for NSP1	identity percentage for NSP2	score for NSP2	identity percentage for NSP3	score for NSP3	identity percentage for NSP4	score for NSP4	identity percentage for NSP5	score for NSP5	identity percentage for NSP6	score for NSP6	identity percentage for NSP7	score for NSP7	identity percentage for NSP8	score for NSP8	identity percentage for NSP9	score for NSP9	identity percentage for NSP10	score for NSP10	identity percentage for NSP11	score for NSP11	identity percentage for NSP12	score for NSP12	identity percentage for NSP13	score for NSP13	identity percentage for NSP14	score for NSP14	identity percentage for NSP15	score for NSP15	identity percentage for NSP16	score for NSP16	identity percentage for Spike	score for Spike	identity percentage for NS3	score for NS3	identity percentage for E	score for E	identity percentage for M	score for M	identity percentage for NS6	score for NS6	identity percentage for NS7a	score for NS7a	identity percentage for NS7b	score for NS7b	identity percentage for NS8	score for NS8	identity percentage for N	score for N	death_growth_rate	Country	Clade_V	Clade_GH	Clade_GR	Clade_G	Clade_O	Clade_L	Clade_S
AUS	2020-03-31	5781.0	50.54	9.252	14.9	44648.71	15.504	3.202	17.054	99.9553	1298.586	99.8986	4651.1318	99.9743	14265.7074	99.9826	3752.2464	99.9865	2283.6299	99.9212	2229.6905	99.9869	600.8879	99.9963	1438.9391	99.9945	820.9446	99.9964	1031.9422	100.0	90.0	99.9416	6991.03	99.9512	4434.1455	99.9828	3987.0583	99.9709	2534.1253	99.9923	2221.8021	99.6873	9355.5695	99.8272	2070.3408	99.9974	549.9868	99.9875	1666.7447	99.9782	464.8034	99.9477	900.1471	100.0	340.0	99.7277	914.7089	99.8956	3011.1349	1900.0	Australia	0.0	1.0	0.0	1.0	0.0	0.0	0.0
AUS	2020-04-30	1031.0	68.26	9.252	14.9	44648.71	15.504	3.202	17.054	100.0	1299.0	99.8333	4648.6667	100.0	14269.0	99.9333	3748.3333	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.7333	2069.3333	100.0	550.0	99.6667	1661.0	100.0	465.0	100.0	901.0	100.0	340.0	99.4667	910.3333	100.0	3016.0	37.5	Australia	0.0	1.0	0.0	1.0	0.0	0.0	0.0
AUS	2020-05-31	231.0	66.14	9.252	14.9	44648.71	15.504	3.202	17.054	100.0	1299.0	99.8333	4648.6667	100.0	14269.0	99.9333	3748.3333	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.7333	2069.3333	100.0	550.0	99.6667	1661.0	100.0	465.0	100.0	901.0	100.0	340.0	99.4667	910.3333	100.0	3016.0	-90.9091	Australia	0.0	1.0	0.0	1.0	0.0	0.0	0.0
AUT	2020-02-29	74.0	11.11	10.33	35.15	45436.685	19.202	106.749	16.013	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8875	9374.375	100.0	2074.0	100.0	550.0	99.9688	1666.375	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Austria	0.0	0.0	1.0	1.0	0.0	0.0	0.0
AUT	2020-03-31	12223.0	84.79	10.33	35.15	45436.685	19.202	106.749	16.013	100.0	1299.0	99.9315	4652.9167	100.0	14269.0	99.9889	3752.5	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.8926	6984.3889	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8889	9375.3333	99.8185	2070.8241	99.9278	549.7778	99.8819	1664.6389	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.831	3008.9028	0.0	Austria	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AUT	2020-04-30	3354.0	71.82	10.33	35.15	45436.685	19.202	106.749	16.013	100.0	1299.0	99.975	4654.0	99.9917	14267.9167	100.0	3753.0	100.0	2284.0	99.8917	2229.5833	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9333	6989.6667	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8583	9373.8333	99.7333	2069.0	100.0	550.0	99.8333	1663.6667	100.0	465.0	100.0	901.0	99.8083	338.5833	100.0	919.0	99.95	3014.25	76.3636	Austria	1.0	0.0	0.0	0.0	1.0	0.0	0.0
AUT	2020-05-31	756.0	60.97	10.33	35.15	45436.685	19.202	106.749	16.013	100.0	1299.0	99.975	4654.0	99.9917	14267.9167	100.0	3753.0	100.0	2284.0	99.8917	2229.5833	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9333	6989.6667	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.8583	9373.8333	99.7333	2069.0	100.0	550.0	99.8333	1663.6667	100.0	465.0	100.0	901.0	99.8083	338.5833	100.0	919.0	99.95	3014.25	-92.0103	Austria	1.0	0.0	0.0	0.0	1.0	0.0	0.0
BGD	2020-03-31	123.0	85.98	799.9444	20.25	35239.84	5.098	126.504	18.92	100.0	1299.0	99.898	4650.9	99.969	14266.63	100.0	3753.0	100.0	2284.0	99.973	2231.28	100.0	601.0	99.975	1438.55	100.0	821.0	100.0	1032.0	100.0	90.0	99.895	6984.6	99.96	4437.2	100.0	3988.0	99.985	2534.4	100.0	2222.0	99.891	9375.11	99.852	2070.22	100.0	550.0	99.975	1666.6	100.0	465.0	92.042	824.92	100.0	340.0	81.0	745.0	99.638	2999.64	0.0	Bangladesh	0.0	0.0	1.0	1.0	0.0	0.0	0.0
BGD	2020-04-30	11596.0	94.58	799.9444	20.25	35239.84	5.098	126.504	18.92	100.0	1299.0	99.898	4650.9	99.969	14266.63	100.0	3753.0	100.0	2284.0	99.973	2231.28	100.0	601.0	99.975	1438.55	100.0	821.0	100.0	1032.0	100.0	90.0	99.895	6984.6	99.96	4437.2	100.0	3988.0	99.985	2534.4	100.0	2222.0	99.891	9375.11	99.852	2070.22	100.0	550.0	99.975	1666.6	100.0	465.0	92.042	824.92	100.0	340.0	81.0	745.0	99.638	2999.64	1350.0	Bangladesh	0.0	0.0	1.0	1.0	0.0	0.0	0.0
BGD	2020-05-31	20359.0	91.93	799.9444	20.25	35239.84	5.098	126.504	18.92	100.0	1299.0	99.9833	4655.1667	99.9542	14264.0417	100.0	3753.0	99.8	2277.9583	100.0	2232.0	100.0	601.0	99.875	1436.75	100.0	821.0	100.0	1032.0	100.0	90.0	99.9667	6994.3333	100.0	4438.0	99.95	3986.75	100.0	2535.0	100.0	2222.0	99.9583	9381.9167	99.775	2067.5	100.0	550.0	100.0	1667.0	99.6	460.5	100.0	901.0	100.0	340.0	75.6042	691.1667	99.7083	3005.1667	52.8736	Bangladesh	0.0	0.0	1.0	1.0	0.0	0.0	1.0
BLR	2020-02-29	6.0	0.0	1018.0604	28.4	17167.967	14.799	468.58	16.061	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BLR	2020-03-31	694.0	8.33	1018.0604	28.4	17167.967	14.799	468.58	16.061	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	0.0	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
BLR	2020-04-30	18555.0	15.47	1018.0604	28.4	17167.967	14.799	468.58	16.061	99.9782	1298.6727	99.9574	4653.9264	99.9902	14268.197	99.9988	3752.9345	100.0	2284.0	99.9859	2231.5781	100.0	601.0	100.0	1439.0	99.9719	820.5625	99.9399	1031.3393	100.0	90.0	99.9128	6986.7917	99.9965	4437.8782	99.9988	3987.8988	99.9948	2534.8155	100.0	2222.0	99.8969	9375.6682	99.9143	2072.311	100.0	550.0	99.8346	1663.6917	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.7582	3005.5151	661.5385	Belarus	1.0	0.0	1.0	1.0	0.0	0.0	0.0
